Date,Value
2000-01-01,100.0
2000-02-01,100.0
2000-03-01,100.0
2000-04-01,100.0
2000-05-01,100.0
2000-06-01,100.0
2000-07-01,100.0
2000-08-01,50.0
2000-09-01,50.0
2000-10-01,50.0
2000-11-01,50.0
2000-12-01,50.0
2001-01-01,16.6667
2001-03-01,16.6667
2001-05-01,16.6667
2001-06-01,16.6667
2001-07-01,16.6667
2001-11-01,16.6667
2001-12-01,50.0
2002-01-01,33.3333
2002-02-01,50.0
2002-03-01,66.6667
2002-04-01,66.6667
2002-05-01,100.0
2002-06-01,100.0
2002-07-01,100.0
2002-08-01,83.3333
2002-09-01,100.0
2002-10-01,100.0
2002-11-01,100.0
2002-12-01,83.3333
2003-01-01,83.3333
2003-02-01,50.0
2003-04-01,16.6667
2003-07-01,16.6667
2003-08-01,42.8571
2003-09-01,57.1429
2003-10-01,85.7143
2003-11-01,57.1429
2003-12-01,57.1429
2004-01-01,57.1429
2004-02-01,85.7143
2004-03-01,85.7143
2004-04-01,85.7143
2004-05-01,85.7143
2004-06-01,100.0
2004-07-01,85.7143
2004-08-01,100.0
2004-09-01,71.4286
2004-10-01,42.8571
2004-11-01,42.8571
2004-12-01,57.1429
2005-01-01,12.5
2005-02-01,12.5
2005-03-01,12.5
2005-05-01,12.5
2005-06-01,12.5
2005-07-01,25.0
2005-09-01,25.0
2005-10-01,50.0
2005-11-01,75.0
2005-12-01,62.5
2006-01-01,44.4444
2006-02-01,55.5556
2006-03-01,55.5556
2006-04-01,100.0
2006-05-01,100.0
2006-06-01,88.8889
2006-07-01,88.8889
2006-08-01,100.0
2006-09-01,77.7778
2006-10-01,88.8889
2006-11-01,77.7778
2006-12-01,77.7778
2007-01-01,88.8889
2007-02-01,88.8889
2007-03-01,55.5556
2007-04-01,44.4444
2007-05-01,22.2222
2007-06-01,22.2222
2007-07-01,33.3333
2007-08-01,22.2222
2007-09-01,33.3333
2007-10-01,22.2222
2007-11-01,33.3333
2007-12-01,11.1111
2008-01-01,22.2222
2008-02-01,10.0
2008-03-01,10.0
2008-04-01,10.0
2008-05-01,10.0
2008-06-01,10.0
2008-07-01,10.0
2008-08-01,10.0
2009-05-01,8.3333
2009-06-01,50.0
2009-07-01,46.1538
2009-08-01,69.2308
2009-09-01,84.6154
2009-10-01,100.0
2009-11-01,100.0
2009-12-01,100.0
2010-01-01,100.0
2010-02-01,100.0
2010-03-01,100.0
2010-04-01,100.0
2010-05-01,100.0
2010-06-01,92.3077
2010-07-01,92.3077
2010-08-01,76.9231
2010-09-01,69.2308
2010-10-01,64.2857
2010-11-01,86.6667
2010-12-01,80.0
2011-01-01,66.6667
2011-02-01,80.0
2011-03-01,33.3333
2011-04-01,53.3333
2011-05-01,20.0
2011-06-01,20.0
2011-07-01,6.6667
2011-08-01,20.0
2011-09-01,13.3333
2011-10-01,13.3333
2011-11-01,13.3333
2011-12-01,6.6667
2012-02-01,11.7647
2012-03-01,25.0
2012-04-01,11.7647
2012-05-01,11.1111
2012-06-01,5.2632
2012-07-01,21.0526
